"grade","subject","chapter","topic"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","জুলাই গণঅভ্যুত্থানের রাজনৈতিক দিক"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","জুলাই গণঅভ্যুত্থানের অর্থনৈতিক দিক"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","স্বাধীনতার আনুষ্ঠানিক যাত্রা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধের সূচনা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুজিবনগর সরকারের কার্যক্রম"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে সাধারণ জনগণ ও পেশাজীবীদের ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে ছাত্রসমাজের ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে পেশাজীবীদের ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে নারীর ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে গণমাধ্যমের ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে জনসাধারণের ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে প্রবাসী বাংলাদেশীদের ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে শিক্ষা-সাহিত্যিক-বুদ্ধিজীবীদের ভূমিকা"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","নবইয়ের গণঅভ্যুত্থান"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","জুলাই গণঅভ্যুত্থান ও শাসকগোষ্ঠীর পলায়ন"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধে বিশ্বজনমত ও বিভিন্ন দেশের ভূমিকা"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","সৌরজগতের গঠন ও সূর্য"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","গ্রহসমূহ ও গ্রহাণু পুঞ্জ"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","পৃথিবীতে জীব বসবাসের কারণ"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","ভূ-অভ্যন্তরের গঠন"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","স্থানীয় সময় ও প্রমাণ সময়"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","অক্ষরেখা ও দ্রাঘিমারেখা"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","মূল মধ্যরেখা ও আন্তর্জাতিক তারিখ রেখা"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","প্রতিপাদ স্থান"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","পৃথিবীর গতি ও ঋতু পরিবর্তন"
"9-10","bgs","অধ্যায় ৩: সৌরজগৎ ও ভূমণ্ডল","জোয়ার-ভাটার ধারণা ও প্রভাব"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","বাংলাদেশের ভৌগোলিক অবস্থান ও সীমানা"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","ভূপ্রাকৃতিক অঞ্চলের শ্রেণিবিভাগ"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","চারশিয়ারি যুগের পাহাড়সমূহ"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","দক্ষিণ-পূর্বাঞ্চলের পাহাড়সমূহ"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","উত্তর ও উত্তর-পূর্বাঞ্চলের পাহাড়সমূহ"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","প্লাইস্টোসিন কালের সোপানসমূহ"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","সাম্প্রতিক কালের প্রাবন সমতলভূমি"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","বাংলাদেশের জলবায়ু বৈশিষ্ট্য"
"9-10","bgs","অধ্যায় ৪: বাংলাদেশের ভূপ্রকৃতি ও জলবায়ু","মৌসুমি বায়ু ও বর্ষাকাল"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","বাংলাদেশের প্রধান নদ-নদী"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","পদ্মা নদীর উৎপত্তি ও গুরুত্ব"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","মেঘনা ও যমুনা নদীর বৈশিষ্ট্য"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","নদীনিয়ন্ত্রণ ও প্রাকৃতিক সম্পদ"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","পানি সম্পদ ব্যবস্থাপনা"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","খনিজ সম্পদ ও বনজঙ্গল"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","জলজ সম্পদের ধারণা"
"9-10","bgs","অধ্যায় ৫: বাংলাদেশের নদ-নদী ও প্রাকৃতিক সম্পদ","প্রাকৃতিক সম্পদ সংরক্ষণ"
"9-10","bgs","অধ্যায় ৬: রাষ্ট্র, নাগরিকতা ও আইন","রাষ্ট্রের ধারণা ও উপাদান"
"9-10","bgs","অধ্যায় ৬: রাষ্ট্র, নাগরিকতা ও আইন","নাগরিকতার ধারণা"
"9-10","bgs","অধ্যায় ৬: রাষ্ট্র, নাগরিকতা ও আইন","আইনের শাসনের প্রয়োজনীয়তা"
"9-10","bgs","অধ্যায় ৬: রাষ্ট্র, নাগরিকতা ও আইন","আইনের উৎস ও শ্রেণিবিভাগ"
"9-10","bgs","অধ্যায় ৬: রাষ্ট্র, নাগরিকতা ও আইন","মৌলিক অধিকার ও মৌলিক কর্তব্য"
"9-10","bgs","অধ্যায় ৬: রাষ্ট্র, নাগরিকতা ও আইন","সমাজ সংশ্লিষ্ট আইন"
"9-10","bgs","অধ্যায় ৬: রাষ্ট্র, নাগরিকতা ও আইন","পরিসংখ্যান আইন"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","বাংলাদেশের সরকার কাঠামো"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","সংবিধানের মূলনীতি"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","আইন প্রণালীর গঠন"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","বিচার বিভাগের কাঠামো"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","প্রশাসনিক বিভাগের গঠন"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","কার্যনির্বাহী বিভাগের ভূমিকা"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","স্থানীয় সরকার ব্যবস্থা"
"9-10","bgs","অধ্যায় ৭: বাংলাদেশ সরকারের বিভিন্ন অঙ্গ ও প্রশাসন ব্যবস্থা","গণতান্ত্রিক প্রশাসন"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","গণতন্ত্রের ধারণা ও প্রকারভেদ"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","বাংলাদেশের গণতান্ত্রিক প্রক্রিয়া"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","রাজনৈতিক দলের ধারণা ও প্রকারভেদ"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","নির্বাচন কমিশনের গঠন ও কার্যাবলি"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","নির্বাচনি আচরণবিধি"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","গণতন্ত্র ও নির্বাচনের সম্পর্ক"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","সংসদীয় প্রথা"
"9-10","bgs","অধ্যায় ৮: বাংলাদেশের গণতন্ত্র ও নির্বাচন ব্যবস্থা","নির্বাচনে শাস্তির বিধান"
"9-10","bgs","অধ্যায় ৯: জাতিসংঘ ও বাংলাদেশ","জাতিসংঘ সৃষ্টির পটভূমি"
"9-10","bgs","অধ্যায় ৯: জাতিসংঘ ও বাংলাদেশ","জাতিসংঘের গঠনকাঠামো"
"9-10","bgs","অধ্যায় ৯: জাতিসংঘ ও বাংলাদেশ","জাতিসংঘের শান্তিরক্ষী বাহিনী"
"9-10","bgs","অধ্যায় ৯: জাতিসংঘ ও বাংলাদেশ","বাংলাদেশের বৈদেশিক নীতি"
"9-10","bgs","অধ্যায় ৯: জাতিসংঘ ও বাংলাদেশ","জাতিসংঘে বাংলাদেশের ভূমিকা"
"9-10","bgs","অধ্যায় ৯: জাতিসংঘ ও বাংলাদেশ","নারী প্রতি বৈষম্য দূরীকরণে জাতিসংঘ"
"9-10","bgs","অধ্যায় ৯: জাতিসংঘ ও বাংলাদেশ","টেকসই উন্নয়ন অভীষ্ট"
"9-10","bgs","অধ্যায় ১০: জাতীয় সম্পদ ও অর্থনৈতিক ব্যবস্থা","জাতীয় সম্পদের ধারণা"
"9-10","bgs","অধ্যায় ১০: জাতীয় সম্পদ ও অর্থনৈতিক ব্যবস্থা","উপযোগ ও অপ্রাচ্যতা"
"9-10","bgs","অধ্যায় ১০: জাতীয় সম্পদ ও অর্থনৈতিক ব্যবস্থা","জাতীয় সম্পদের শ্রেণিবিভাগ"
"9-10","bgs","অধ্যায় ১০: জাতীয় সম্পদ ও অর্থনৈতিক ব্যবস্থা","বাংলাদেশের প্রচলিত অর্থনৈতিক ব্যবস্থা"
"9-10","bgs","অধ্যায় ১০: জাতীয় সম্পদ ও অর্থনৈতিক ব্যবস্থা","জাতীয় আয়ের বন্টন"
"9-10","bgs","অধ্যায় ১০: জাতীয় সম্পদ ও অর্থনৈতিক ব্যবস্থা","বিভিন্ন অর্থনৈতিক খাতের অবদান"
"9-10","bgs","অধ্যায় ১০: জাতীয় সম্পদ ও অর্থনৈতিক ব্যবস্থা","সম্পদ সংরক্ষণ ও অপচয় প্রতিরোধ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","অর্থনৈতিক নির্দেশকসমূহ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","মোট জাতীয় উৎপাদন (Gross National Product)"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","মোট জাতীয় উৎপাদন পরিমাপ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","মোট দেশজ উৎপাদন (Gross Domestic Product)"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","মাথাপিছু আয় (per Capita Income)"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","বাংলাদেশের অর্থনীতির বৈশিষ্ট্যসমূহ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","বাংলাদেশের অর্থনৈতিক অগ্রসরতার প্রতিবন্ধকতাসমূহ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","উন্নত ও উন্নয়নশীল দেশের সাথে বাংলাদেশের অর্থনৈতিক সম্পর্ক"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","উন্নত দেশ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","উন্নয়নশীল দেশ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","অনুন্নত দেশ"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","উন্নয়ন ধারণা"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","অর্থনৈতিক প্রবৃদ্ধি ও অর্থনৈতিক উন্নয়ন"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","জাতীয় অর্থনীতির খাতসমূহ ও মোট দেশজ উৎপাদনে এগুলোর অবদান"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","কৃষিখাতের প্রকৃতি"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","বৈদেশিক বাণিজ্যিক সম্পর্ক"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","বৈদেশিক ঋণ সহায়তা ও অনুদান"
"9-10","bgs","অধ্যায় ১১: অর্থনৈতিক নির্দেশকসমূহ ও বাংলাদেশের অর্থনীতির প্রকৃতি","বেকারত্ব হ্রাস ও দারিদ্র্য বিমোচন"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","সরকারি অর্থব্যবস্থার ধারণা"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","আয়ের উৎস ও প্রকারভেদ"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","কর রাজস্ব ও কর-বহিঃস্থ রাজস্ব"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","বাজেট প্রণালী"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","ব্যয়ের খাত"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","ব্যাংকের ধারণা ও শ্রেণিবিভাগ"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","কেন্দ্রীয় ব্যাংকের ভূমিকা"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","বাণিজ্যিক ব্যাংকের কার্যাবলি"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","বিশেষ আর্থিক প্রতিষ্ঠান"
"9-10","bgs","অধ্যায় ১২: বাংলাদেশ সরকারের অর্থ ও বাজেট ব্যবস্থা","দারিদ্র্য বিমোচনে ব্যাংকের অবদান"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","পরিবারের ধারণা ও কাঠামো"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","পরিবারের প্রকারভেদ"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","পরিবারের কার্যাবলি ও ভূমিকা"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","সামাজিকীকরণের ধারণা"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","সামাজিকীকরণের উপাদান"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","গ্রামীণ ও শহুরে পরিবার"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","পরিবার ও পরিবারের সদস্যদের ভূমিকা"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","স্থানীয় সমাজ ও গোষ্ঠী"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","ধর্মীয় প্রতিষ্ঠান ও গণমাধ্যম"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","সাংস্কৃতিক পরিবেশ"
"9-10","bgs","অধ্যায় ১৩: বাংলাদেশের পরিবার কাঠামো ও সামাজিকীকরণ","বিশেষ চাহিদা সম্পন্ন শিশুর প্রতি পরিবারের ভূমিকা"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","সামাজিক পরিবর্তনের ধারণা"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","সামাজিক পরিবর্তনের উপাদান"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","প্রাকৃতিক ও পরিবেশগত উপাদান"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","জৈবিক ও সাংস্কৃতিক উপাদান"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","সামাজিক মূল্যবোধ ও সমাজজীবন"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","শিল্পায়ন ও নগরায়ণ"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","সামাজিকীকরণের উপাদান ও তাদের ভূমিকা"
"9-10","bgs","অধ্যায় ১৪: বাংলাদেশের সামাজিক পরিবর্তন","সামাজিক পরিবর্তনে নারীর ভূমিকা"
"9-10","bgs","অধ্যায় ১৫: বাংলাদেশের সামাজিক সমস্যা ও প্রতিকার","সামাজিক নৈরাজ্য ও মূল্যবোধের অবক্ষয়"
"9-10","bgs","অধ্যায় ১৫: বাংলাদেশের সামাজিক সমস্যা ও প্রতিকার","নারীর প্রতি সহিংসতা ও প্রতিরোধ"
"9-10","bgs","অধ্যায় ১৫: বাংলাদেশের সামাজিক সমস্যা ও প্রতিকার","শিশুশ্রম ও কিশোর অপরাধ"
"9-10","bgs","অধ্যায় ১৫: বাংলাদেশের সামাজিক সমস্যা ও প্রতিকার","মাতৃকল্যাণ ও মাতৃত্বকালীন সুবিধা"
"9-10","bgs","অধ্যায় ১৫: বাংলাদেশের সামাজিক সমস্যা ও প্রতিকার","সড়ক দুর্ঘটনা ও প্রতিকার"
"9-10","bgs","অধ্যায় ১৫: বাংলাদেশের সামাজিক সমস্যা ও প্রতিকার","দুর্নীতির কারণ ও প্রতিরোধ"
